last_name,first_name,mlbam_id,retrosheet_id,fangraphs_id
conforto,michael,624424,confm001,16376
turner,justin,457759,turnj001,5235
butler,billy,456714,butlb003,7399
miller,brad,543543,millb002,12775
bryant,kris,592178,bryak001,15429
pham,tommy,502054,phamt001,2967
canó,robinson,429664,canor001,3269
machado,manny,592518,machm001,11493
ramírez,josé,608070,ramij003,13510
schwarber,kyle,656941,schwk001,16478
dietrich,derek,518618,dietd001,10542
davis,khris,501981,davik003,9112
castro,jason,488771,castj006,8722
meadows,austin,640457,meada001,15672
lindor,francisco,596019,lindf001,12916
schwarber,kyle,656941,schwk001,16478
ozuna,marcell,542303,ozunm001,10324
castellanos,nick,592206,castn001,11737
marte,ketel,606466,martk001,13613
acuña,ronald,660670,acunr001,18401
brantley,michael,488726,branm003,4106
hicks,aaron,543305,hicka001,5297
belt,brandon,474832,beltb001,10264
morales,kendrys,434778,morak001,8610
braun,ryan,460075,braur002,3410
castellanos,nick,592206,castn001,11737
velázquez,nelson,676369,velan001,23359
soler,jorge,624585,solej001,14221
bellinger,cody,641355,bellc002,15998
martinez,j. d.,502110,martj006,6184
céspedes,yoenis,493316,cespy001,13110
wallner,matt,670242,wallm001,26466
conforto,michael,624424,confm001,16376
castellanos,nick,592206,castn001,11737
pasquantino,vinnie,686469,pasqv001,27676
refsnyder,rob,608701,refsr001,13770
sánchez,gary,596142,sancg002,11442
cabrera,miguel,408234,cabrm001,1744
castellanos,nick,592206,castn001,11737
suárez,eugenio,553993,suare001,12552
bregman,alex,608324,brega001,17678
correa,carlos,621043,corrc001,14162
morales,kendrys,434778,morak001,8610
ramírez,josé,608070,ramij003,13510
belt,brandon,474832,beltb001,10264
rutschman,adley,668939,rutsa001,26288
wells,austin,669224,wella002,27562
abreu,josé,547989,abrej003,15676
kirk,alejandro,672386,kirka001,22581
soto,juan,665742,sotoj001,20123
santana,carlos,467793,santc002,2396
teixeira,mark,407893,teixm001,1281
contreras,willson,575929,contw001,11609
blackmon,charlie,453568,blacc001,7859
ruggiano,justin,448605,ruggj001,7620
duda,lucas,446263,dudal001,2502
hicks,aaron,543305,hicka001,5297
seager,corey,608369,seagc001,13624
marte,ketel,606466,martk001,13613
conforto,michael,624424,confm001,16376
pérez,salvador,521692,peres002,7304
moreland,mitch,519048,morem001,3086
taylor,chris,621035,taylc001,13757
lind,adam,452252,linda001,8027
zimmerman,ryan,475582,zimmr001,4220
cabrera,miguel,408234,cabrm001,1744
joe,connor,656582,joe-c001,16572
hernández,teoscar,606192,hernt002,13066
zimmerman,ryan,475582,zimmr001,4220
trumbo,mark,444432,trumm001,6876
martinez,j. d.,502110,martj006,6184
casas,triston,671213,casat001,22514
raburn,ryan,430605,rabur001,2218
turner,justin,457759,turnj001,5235
votto,joey,458015,vottj001,4314
bregman,alex,608324,brega001,17678
arozarena,randy,668227,arozr001,19290
rendon,anthony,543685,renda001,12861
travis,devon,581527,travd001,13862
davis,khris,501981,davik003,9112
witt,bobby,677951,wittb002,25764
gallo,joey,608336,gallj002,14128
pearce,steve,456665,pears001,9957
machado,manny,592518,machm001,11493
morrison,logan,489149,morrl001,9205
tellez,rowdy,642133,tellr001,15679
carter,chris,474892,cartc002,9911
sánchez,héctor,516949,sanch002,10289
barnes,austin,605131,barna001,12158
braun,ryan,460075,braur002,3410
story,trevor,596115,stort001,12564
bour,justin,571506,bourj002,9744
smoak,justin,475253,smoaj001,9054
mauer,joe,408045,mauej001,1857
rodriguez,alex,121347,rodra001,1274
voit,luke,572228,voitl001,14811
gonzález,adrián,408236,gonza003,1908
grisham,trent,663757,grist001,18564
sanó,miguel,593934,sanom001,12164
rizzo,anthony,519203,rizza001,3473
pujols,albert,405395,pujoa001,1177
bell,josh,605137,bellj005,13145
haniger,mitch,571745,hanim001,14274
pederson,joc,592626,pedej001,11899
moustakas,mike,519058,mousm001,4892
goldschmidt,paul,502671,goldp001,9218
devers,rafael,646240,dever001,17350
blackmon,charlie,453568,blacc001,7859
correa,carlos,621043,corrc001,14162
goldschmidt,paul,502671,goldp001,9218
santana,carlos,467793,santc002,2396
alonso,pete,624413,alonp001,19251
choo,shin-soo,425783,choos001,3174
knapp,andrew,595284,knapa001,14942
grandal,yasmani,518735,grany001,11368
arenado,nolan,571448,arenn001,9777
thompson,trayce,572204,thomt002,9952
holliday,matt,407812,hollm001,1873
garcía,adolis,666969,garca005,19287
lemahieu,dj,518934,lemad001,9874
