"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
23549,141,"TOR",2021,23549,100,0.236,0.171,0.284,0.407,0.308,0.311,0.237,1257,5337,88.6,12.4,2223,89.3,89.34,2975,11166,12380,0,6.36,107,154,121,148,296,318,290,"44","-44",,
14351,117,"HOU",2024,14351,100,0.238,0.152,0.285,0.389,0.313,0.311,0.235,759,3193,88.3,13.2,2313,89,89.11,1755,6612,7739,0.09999999999999432,6.46,108,149,115,148,293,321,295,"4","-4",69.49772273412913,"7.239640325"
24353,138,"STL",2018,24353,100,0.246,0.132,0.297,0.378,0.306,0.311,0.241,1354,5506,87.2,11.5,2225,89.2,88.91,2789,11467,12885,-0.29999999999999716,6.09,113,147,107,148,298,317,299,"37.2","-37.2",,
23898,135,"SD",2019,23898,100,0.251,0.179,0.303,0.43,0.314,0.311,0.243,1394,5551,88.3,11.7,2197,88.8,88.42,2868,11427,12471,-0.3999999999999915,6.02,114,152,115,149,304,326,304,"9.6","-9.6",,
24117,139,"TB",2016,24117,100,0.255,0.161,0.3,0.416,0.316,0.311,0.243,1395,5470,89,13.7,2183,88.9,87.82,2807,11299,12730,-1.1000000000000085,5.76,110,153,114,146,298,325,295,"17.8","-17.8",,
23103,137,"SF",2023,23103,100,0.253,0.155,0.305,0.408,0.311,0.31,0.25,1395,5504,88.7,8,2108,88.5,88.77,2631,10954,12149,0.29999999999999716,6.43,110,149,117,148,298,325,297,"34.2","-34.2",,
22405,121,"NYM",2021,22405,100,0.236,0.164,0.289,0.4,0.306,0.31,0.236,1221,5175,87.8,11.6,2237,90.1,90.26,2987,10825,11580,0.20000000000000284,6.4,112,155,113,149,300,325,298,"39.5","-39.5",,
8528,147,"NYY",2020,8528,100,0.236,0.185,0.282,0.421,0.313,0.31,0.235,455,1927,87.8,12.8,2279,89.4,89.43,1142,4123,4405,0,6.34,111,150,120,149,293,322,287,"2.8","-2.8",,
24441,141,"TOR",2017,24441,100,0.258,0.171,0.304,0.429,0.323,0.31,0.243,1460,5666,87,11.1,2251,88.6,87.77,2799,11456,12981,-0.7999999999999972,5.88,109,151,112,147,297,322,294,"-24.8","24.8",,
23230,119,"LAD",2023,23230,100,0.236,0.164,0.279,0.4,0.304,0.31,0.244,1284,5444,88.1,13.4,2304,89.5,89.86,2917,11348,11882,0.4000000000000057,6.45,113,150,121,150,299,318,294,"50.4","-50.4",,
