team,year,close_games,close_win_pct,runs_scored,runs_allowed,run_diff
WSH,2021,48,0.4583333333333333,724,820,-96
MIA,2021,50,0.42,623,701,-78
HOU,2022,44,0.6363636363636364,737,518,219
TEX,2022,50,0.3,707,743,-36
LAA,2022,46,0.391304347826087,623,668,-45
OAK,2022,42,0.40476190476190477,568,770,-202
SEA,2022,56,0.6071428571428571,690,623,67
KC,2022,36,0.4444444444444444,640,810,-170
DET,2022,42,0.5238095238095238,557,713,-156
CLE,2022,45,0.6222222222222222,698,634,64
MIN,2022,48,0.4166666666666667,696,684,12
CWS,2022,43,0.627906976744186,686,717,-31
NYY,2022,58,0.5344827586206896,807,567,240
BOS,2022,50,0.48,735,787,-52
TB,2022,54,0.5,666,614,52
TOR,2022,50,0.6,775,679,96
BAL,2022,47,0.48936170212765956,674,688,-14
LAD,2022,31,0.5161290322580645,847,513,334
SD,2022,47,0.6382978723404256,705,660,45
COL,2022,47,0.48936170212765956,698,873,-175
AZ,2022,46,0.3695652173913043,702,740,-38
SF,2022,49,0.4489795918367347,716,697,19
MIL,2022,51,0.5490196078431373,725,688,37
PIT,2022,48,0.4375,591,817,-226
STL,2022,43,0.6046511627906976,772,637,135
CIN,2022,44,0.4772727272727273,648,815,-167
CHC,2022,53,0.49056603773584906,657,731,-74
NYM,2022,36,0.5833333333333334,772,606,166
ATL,2022,44,0.5909090909090909,789,609,180
PHI,2022,47,0.46808510638297873,747,685,62
WSH,2022,39,0.4358974358974359,603,855,-252
MIA,2022,64,0.375,586,676,-90
HOU,2023,41,0.4878048780487805,827,698,129
TEX,2023,36,0.3888888888888889,881,716,165
LAA,2023,43,0.5116279069767442,739,829,-90
OAK,2023,47,0.425531914893617,585,924,-339
SEA,2023,51,0.49019607843137253,758,659,99
KC,2023,41,0.5121951219512195,676,859,-183
DET,2023,41,0.5121951219512195,661,740,-79
CLE,2023,58,0.46551724137931033,662,697,-35
MIN,2023,46,0.41304347826086957,778,659,119
CWS,2023,49,0.3877551020408163,641,841,-200
NYY,2023,40,0.425,673,698,-25
BOS,2023,43,0.4186046511627907,772,776,-4
TB,2023,47,0.46808510638297873,860,665,195
TOR,2023,45,0.5555555555555556,746,671,75
BAL,2023,46,0.6521739130434783,807,678,129
LAD,2023,31,0.5161290322580645,906,699,207
SD,2023,32,0.28125,752,648,104
COL,2023,47,0.48936170212765956,721,957,-236
AZ,2023,42,0.5,746,761,-15
SF,2023,44,0.5681818181818182,674,719,-45
MIL,2023,47,0.6170212765957447,728,647,81
PIT,2023,39,0.5641025641025641,692,790,-98
STL,2023,43,0.3953488372093023,719,829,-110
CIN,2023,63,0.5396825396825397,783,821,-38
CHC,2023,45,0.4666666666666667,819,723,96
NYM,2023,53,0.4716981132075472,717,729,-12
ATL,2023,41,0.5609756097560976,947,716,231
PHI,2023,53,0.5471698113207547,796,715,81
WSH,2023,49,0.5714285714285714,700,845,-145
MIA,2023,47,0.7021276595744681,666,723,-57
HOU,2024,24,0.2916666667,0,0,49
TEX,2024,23,0.5217391304,0,0,9
LAA,2024,29,0.4827586207,0,0,-87
OAK,2024,29,0.4137931034,0,0,-83
SEA,2024,33,0.5757575758,0,0,19
KC,2024,26,0.5,0,0,60
DET,2024,32,0.5,0,0,-7
CLE,2024,29,0.5862068966,0,0,85
MIN,2024,28,0.5714285714,0,0,47
CWS,2024,27,0.2962962963,0,0,-177
NYY,2024,24,0.4583333333,0,0,106
BOS,2024,17,0.7058823529,0,0,44
TB,2024,26,0.6538461538,0,0,-63
TOR,2024,29,0.4137931034,0,0,-66
BAL,2024,22,0.5,0,0,80
LAD,2024,22,0.5,0,0,88
SD,2024,22,0.4545454545,0,0,12
COL,2024,28,0.5357142857,0,0,-169
AZ,2024,25,0.6,0,0,17
SF,2024,27,0.5185185185,0,0,-27
MIL,2024,31,0.4838709677,0,0,79
PIT,2024,31,0.5161290323,0,0,-9
STL,2024,30,0.6,0,0,-38
CIN,2024,26,0.3076923077,0,0,38
CHC,2024,34,0.4117647059,0,0,-5
NYM,2024,28,0.6428571429,0,0,13
ATL,2024,23,0.4347826087,0,0,65
PHI,2024,24,0.5833333333,0,0,110
WSH,2024,22,0.4090909091,0,0,-38
MIA,2024,29,0.5517241379,0,0,-152
