IDfg,Season,Name,OPS,PA
19197,2022,Will Smith,0.807,578
9777,2021,Nolan Arenado,0.807,653
15172,2021,Tim Anderson,0.806,551
785,2015,Todd Frazier,0.806,678
639,2015,Adrian Beltre,0.788,619
22581,2022,Alejandro Kirk,0.786,541
5343,2015,Brandon Crawford,0.782,561
16252,2023,Trea Turner,0.778,691
10847,2018,Andrelton Simmons,0.754,600
27506,2023,Ha-seong Kim,0.749,626
11038,2015,Kevin Kiermaier,0.718,535
16376,2017,Michael Conforto,0.939,440
2616,2017,Zack Cozart,0.933,507
15672,2019,Austin Meadows,0.922,591
15640,2019,Aaron Judge,0.921,447
17350,2021,Rafael Devers,0.89,664
16376,2019,Michael Conforto,0.856,648
16556,2019,Ozzie Albies,0.852,702
9368,2016,Evan Longoria,0.84,685
12927,2023,Brandon Nimmo,0.829,682
12552,2022,Eugenio Suarez,0.791,629
13624,2022,Corey Seager,0.772,663
19709,2023,Fernando Tatis Jr.,0.77,635
21534,2023,Cal Raleigh,0.762,569
21479,2022,Nico Hoerner,0.736,517
12533,2022,Marcus Semien,0.733,724
11579,2017,Bryce Harper,1.008,492
14161,2021,Byron Buxton,1.005,254
5235,2018,Justin Turner,0.924,426
5417,2023,Jose Altuve,0.915,410
8090,2018,Matt Carpenter,0.897,677
11442,2017,Gary Sanchez,0.876,525
12161,2021,Xander Bogaerts,0.863,603
13265,2021,Mike Zunino,0.86,375
1433,2016,Wilson Ramos,0.85,523
5235,2021,Justin Turner,0.832,612
12856,2022,George Springer,0.814,583
12979,2021,Javier Baez,0.813,547
14162,2016,Carlos Correa,0.811,660
8709,2017,Elvis Andrus,0.808,689
7185,2015,Logan Forsythe,0.804,615
9241,2018,Starling Marte,0.787,606
21534,2022,Cal Raleigh,0.774,415
5343,2016,Brandon Crawford,0.772,623
4922,2017,Ender Inciarte,0.759,718
26294,2023,Bryson Stott,0.747,640
12147,2018,Nick Ahmed,0.7,564
16252,2016,Trea Turner,0.937,324
15998,2017,Cody Bellinger,0.933,548
11445,2019,Mark Canha,0.913,497
8090,2016,Matt Carpenter,0.885,566
19198,2019,Yuli Gurriel,0.884,612
13066,2021,Teoscar Hernandez,0.87,595
16556,2023,Ozzie Albies,0.849,660
12916,2015,Francisco Lindor,0.835,438
5297,2018,Aaron Hicks,0.833,581
13152,2021,Jorge Polanco,0.826,644
19522,2023,T.J. Friedl,0.819,556
19290,2021,Randy Arozarena,0.815,604
19612,2023,Bo Bichette,0.814,601
9776,2016,Jason Kipnis,0.811,688
11477,2017,Christian Yelich,0.807,695
13419,2022,Christian Walker,0.804,667
24770,2023,James Outman,0.79,567
13853,2018,Joey Wendle,0.789,545
2900,2019,Roberto Perez,0.774,449
16556,2018,Ozzie Albies,0.757,684
15161,2019,Mitch Garver,0.995,359
6184,2019,J.D. Martinez,0.939,657
2136,2015,David Peralta,0.893,517
11579,2019,Bryce Harper,0.882,682
5235,2019,Justin Turner,0.881,549
19251,2022,Pete Alonso,0.869,685
5235,2015,Justin Turner,0.861,439
15878,2018,Miguel Andujar,0.855,606
12144,2019,Max Kepler,0.855,596
13611,2021,Mookie Betts,0.854,550
10264,2015,Brandon Belt,0.834,556
13419,2023,Christian Walker,0.83,661
12552,2017,Eugenio Suarez,0.828,632
12856,2015,George Springer,0.826,451
8370,2016,Dustin Pedroia,0.825,698
16578,2022,Yandy Diaz,0.824,558
4418,2017,Jed Lowrie,0.808,645
19197,2023,Will Smith,0.797,554
13621,2021,Jeimer Candelario,0.795,626
11205,2015,Adam Eaton,0.792,689
7739,2022,Travis d'Arnaud,0.791,426
6195,2015,Ian Kinsler,0.77,675
11368,2017,Yasmani Grandal,0.767,482
16505,2022,Matt Chapman,0.757,621
12916,2021,Francisco Lindor,0.734,524
4922,2016,Ender Inciarte,0.732,578
19950,2023,Andres Gimenez,0.712,616
16725,2022,Jose Trevino,0.671,353
19556,2019,Yordan Alvarez,1.067,369
14162,2019,Carlos Correa,0.926,321
13624,2021,Corey Seager,0.915,409
14344,2019,Matt Olson,0.896,547
4106,2019,Michael Brantley,0.875,637
17128,2019,Ramon Laureano,0.86,481
3892,2017,Josh Reddick,0.847,540
11936,2015,Joe Panik,0.833,432
15676,2022,Jose Abreu,0.824,679
11477,2023,Christian Yelich,0.818,632
4892,2015,Mike Moustakas,0.817,614
5667,2017,Steven Souza Jr.,0.81,617
25931,2023,Michael Harris II,0.808,539
16997,2023,Gleyber Torres,0.8,672
11476,2016,Odubel Herrera,0.781,656
9785,2015,Kyle Seager,0.779,686
9927,2017,Brett Gardner,0.778,682
9368,2015,Evan Longoria,0.764,670
11476,2015,Odubel Herrera,0.762,537
5933,2018,Jean Segura,0.755,632
16930,2023,Jonah Heim,0.755,501
11038,2016,Kevin Kiermaier,0.741,414
6867,2015,Derek Norris,0.709,557
4316,2017,Daniel Murphy,0.928,593
20123,2018,Juan Soto,0.923,494
12158,2017,Austin Barnes,0.895,262
3516,2017,Eric Hosmer,0.882,671
19326,2019,Bryan Reynolds,0.88,546
10264,2016,Brandon Belt,0.868,655
2136,2018,David Peralta,0.868,614
4949,2018,Giancarlo Stanton,0.852,705
9241,2019,Starling Marte,0.845,586
13329,2016,Jake Lamb,0.84,594
17548,2022,Taylor Ward,0.833,564
11982,2018,Travis Shaw,0.825,587
9241,2016,Starling Marte,0.818,529
17182,2015,Jung Ho Kang,0.816,467
18036,2021,Jake Cronenworth,0.8,643
16556,2021,Ozzie Albies,0.799,686
17232,2021,Yoan Moncada,0.787,616
10472,2021,Enrique Hernandez,0.786,585
18030,2018,Harrison Bader,0.756,427
18363,2019,Victor Robles,0.745,617
4616,2016,Russell Martin,0.733,535
14162,2018,Carlos Correa,0.728,468
18036,2022,Jake Cronenworth,0.722,684
16505,2021,Matt Chapman,0.716,622
12434,2015,Kevin Pillar,0.713,628
27506,2022,Ha-seong Kim,0.708,582
10199,2016,Billy Hamilton,0.664,460
10264,2021,Brandon Belt,0.975,381
11368,2021,Yasmani Grandal,0.939,375
11737,2021,Nick Castellanos,0.939,585
20529,2023,Nolan Jones,0.931,424
3473,2019,Anthony Rizzo,0.924,613
2151,2016,Edwin Encarnacion,0.886,702
19755,2022,Shohei Ohtani,0.875,666
19251,2021,Pete Alonso,0.863,637
20123,2022,Juan Soto,0.853,664
19470,2019,Tommy Edman,0.85,349
9847,2017,Andrew McCutchen,0.849,650
19953,2023,Josh Lowe,0.835,501
7435,2016,Ben Zobrist,0.831,631
2967,2018,Tommy Pham,0.83,570
6153,2018,Eduardo Escobar,0.824,631
13624,2019,Corey Seager,0.817,541
10816,2017,Jedd Gyorko,0.813,481
12161,2016,Xander Bogaerts,0.802,719
8709,2016,Elvis Andrus,0.8,568
