away_team,away_score,away_team_xwoba_diff,away_lineup_xwoba,away_team_xfip,away_starter_xfip,away_close_win_pct,away_run_diff,home_team,home_score,home_team_xwoba_diff,home_lineup_xwoba,home_team_xfip,home_starter_xfip,home_close_win_pct,home_run_diff
HOU,9,0.04639999999999997,0.334297421216571,3.6854999999999998,4.526408379416024,0.5489462209302326,263.15,COL,8,-0.02324999999999994,0.3122669091921312,4.479,3.541593984962406,0.5555133295519001,-55.0
AZ,4,-0.0057,0.3222566259347402,4.1834999999999996,5.199533883822819,0.4696930618401206,77.2,LAD,5,0.05029999999999999,0.33146087279911735,3.757,3.358744440563511,0.5408395176252319,240.79999999999998
NYY,2,0.030449999999999998,0.3415746709348906,4.0375,3.5836659197848975,0.49700552825552824,197.59999999999997,NYM,4,0.01405,0.3237543068311955,4.2445,4.0341632491546155,0.47162107396149944,5.449999999999999
CHC,1,0.00445,0.30927739102853513,4.2615,4.049755434782608,0.4659747417672832,106.24999999999999,PIT,5,-0.0114,0.3180620890656763,4.5165,4.153227069067546,0.4694295900178253,-101.5
SF,10,-0.022350000000000002,0.3193877476008976,4.4775,4.68080767810724,0.6116979061127997,-101.55,SD,4,-0.01845,0.3067007499575223,4.2225,4.295953858392999,0.5149069767441861,-133.5
MIA,2,-0.0258,0.31582101596974216,4.9334999999999996,4.420657825764213,0.40443181818181817,-177.4,WSH,3,0.02095,0.32447525562803375,4.242500000000001,3.3781596752368066,0.4637992038920832,133.7
CLE,9,0.019549999999999998,0.32241166420339523,4.0065,3.856909606522509,0.4956020837507514,147.8,KC,5,-0.03065,0.3035440752505862,4.8475,4.505309047830593,0.4134021901443504,-168.9
MIN,6,0.013349999999999935,0.3340907347165332,4.357,4.639142857142857,0.5666341991341991,105.8,OAK,8,0.0167,0.3286907062945102,4.5755,5.200514872738425,0.5778344671201814,120.7
STL,4,0.009899999999999999,0.321590097289117,4.2940000000000005,3.7135064276661236,0.5120734644720996,86.6,SEA,5,-0.01465,0.30394578696179286,4.6209999999999996,4.751419026612786,0.5346493411228419,-92.8
BAL,3,-0.03634999999999994,0.3018675437938001,5.028500000000001,5.2493839489845655,0.35,-233.39999999999998,TB,6,0.026,0.3253098257491188,3.9725,3.377506240967021,0.5424902216427641,83.8
LAA,9,-0.0069,0.33380955782102767,4.5805,5.279590828275452,0.5111896465903435,-59.5,TEX,4,-0.01745,0.3115395769243369,4.7705,4.417438465596503,0.47556385277282887,-71.1
BOS,10,0.023749999999999997,0.3403947383458445,4.2005,3.8823241906894297,0.5474108818011256,118.6,TOR,6,-0.008499999999999999,0.3179470133121997,4.717,4.865303859196609,0.48074953980671875,-105.6
PHI,2,-0.00885,0.32795563209092,4.3725,4.155794293524688,0.49550706033376124,-38.55,ATL,9,0.0083,0.33968480626219555,4.3925,5.275844480283666,0.612382965871338,79.35000000000001
MIL,0,0.007500000000000001,0.3104513307840102,4.301,4.750321974477633,0.5984410801963993,30.8,CIN,3,4.99999999999997e-05,0.31589866974994013,4.228999999999999,3.7904803480990084,0.3724484287642182,-54.15
HOU,4,0.04639999999999997,0.33320266048897934,3.6854999999999998,4.500918892185954,0.5489462209302326,263.15,COL,2,-0.02324999999999994,0.327248067995724,4.479,5.052429303748988,0.5555133295519001,-55.0
AZ,4,-0.0057,0.311788557091748,4.1834999999999996,4.645607955377628,0.4696930618401206,77.2,LAD,5,0.05029999999999999,0.3206382125154372,3.757,3.5227912658300973,0.5408395176252319,240.79999999999998
NYY,5,0.030449999999999998,0.33685989273703254,4.0375,4.229042918118082,0.49700552825552824,197.59999999999997,NYM,1,0.01405,0.326518338194737,4.2445,5.072155090390105,0.47162107396149944,5.449999999999999
CHC,5,0.00445,0.3173306421378925,4.2615,3.625596109462578,0.4659747417672832,106.24999999999999,PIT,6,-0.0114,0.31985599645835383,4.5165,3.904994376823973,0.4694295900178253,-101.5
SF,7,-0.022350000000000002,0.3211573954767483,4.4775,4.863638179751996,0.6116979061127997,-101.55,SD,5,-0.01845,0.31549770295791013,4.2225,4.6249955539570555,0.5149069767441861,-133.5
MIA,1,-0.0258,0.2937055621416109,4.9334999999999996,5.101699854724869,0.40443181818181817,-177.4,WSH,3,0.02095,0.3241598426805133,4.242500000000001,3.2189583738572263,0.4637992038920832,133.7
DET,5,-0.03045,0.3074602435699604,4.718,4.588684865238425,0.4028525641025641,-265.15,CWS,7,-0.02885,0.30583191606360743,4.8575,4.571639553241227,0.4278409090909091,-139.5
DET,6,-0.03045,0.3046777696051362,4.718,4.616153751657634,0.4028525641025641,-265.15,CWS,9,-0.02885,0.3093378591075278,4.8575,5.15423847970058,0.4278409090909091,-139.5
CLE,4,0.019549999999999998,0.32533177364600135,4.0065,3.515847942754919,0.4956020837507514,147.8,KC,0,-0.03065,0.30797813611265973,4.8475,4.917293067470438,0.4134021901443504,-168.9
MIN,4,0.013349999999999935,0.3219362608871935,4.357,3.9436574614287565,0.5666341991341991,105.8,OAK,3,0.0167,0.3248640857446527,4.5755,4.886001505334119,0.5778344671201814,120.7
STL,5,0.009899999999999999,0.3215900972891171,4.2940000000000005,4.365364035087719,0.5120734644720996,86.6,SEA,2,-0.01465,0.30389538116424697,4.6209999999999996,4.414309515428839,0.5346493411228419,-92.8
BAL,9,-0.03634999999999994,0.30300620551283547,5.028500000000001,5.19174779835198,0.35,-233.39999999999998,TB,6,0.026,0.3225804601071485,3.9725,4.409357040670345,0.5424902216427641,83.8
LAA,6,-0.0069,0.3302832446999371,4.5805,5.117943393897844,0.5111896465903435,-59.5,TEX,2,-0.01745,0.3257215033269455,4.7705,4.967022871191957,0.47556385277282887,-71.1
BOS,3,0.023749999999999997,0.3403947383458445,4.2005,2.6972876219825372,0.5474108818011256,118.6,TOR,6,-0.008499999999999999,0.3198887781969948,4.717,4.644985674539458,0.48074953980671875,-105.6
PHI,6,-0.00885,0.3181940118113293,4.3725,4.619847034534534,0.49550706033376124,-38.55,ATL,12,0.0083,0.3329384058979144,4.3925,3.9552154239122026,0.612382965871338,79.35000000000001
MIL,0,0.007500000000000001,0.32001516352740056,4.301,3.5904902245920183,0.5984410801963993,30.8,CIN,1,4.99999999999997e-05,0.3148688554943248,4.228999999999999,3.529772575250836,0.3724484287642182,-54.15
