away_team,away_score,away_team_ops,away_lineup_ops,away_team_era,away_starter_era,away_close_win_pct,away_run_diff,home_team,home_score,home_team_ops,home_lineup_ops,home_team_era,home_starter_era,home_close_win_pct,home_run_diff
PIT,1,0.6786,0.7421736490075612,4.7055,5.855842599843382,0.40194431527551727,-85.80000000000001,CHC,5,0.73035,0.7472814060913748,3.9665,4.655357041251778,0.49552093148472204,56.65
STL,6,0.71015,0.7201633814389602,3.8845,3.7323068113321276,0.5310556464811783,42.3,CIN,9,0.7223499999999999,0.7736371040251078,4.0765,4.398729542302358,0.42372469635627524,-20.95
LAD,6,0.8111999999999999,0.7756642352792817,3.1695,3.1918154192459203,0.5627551020408164,178.95,COL,5,0.73865,0.744303744246803,5.398499999999999,5.413952183144096,0.5406759867872276,-72.3
TB,7,0.75205,0.7409157678299773,3.616,3.0685555555555553,0.6607276012717582,74.75,MIA,12,0.6889,0.7189048399403977,4.8149999999999995,4.231617391304348,0.5095275119617225,-105.85
MIN,2,0.7622499999999999,0.7581380350191821,3.868,3.861270064440539,0.6125,73.10000000000001,MIL,0,0.725,0.7452940122269605,4.1674999999999995,4.071288189694482,0.6576923076923077,4.800000000000001
ATL,0,0.80775,0.8238789584354074,4.2885,3.7987795591182363,0.6458976317799847,79.3,PHI,4,0.76115,0.7877599582283714,4.875,3.3360541424959096,0.4758130081300813,-15.649999999999999
AZ,0,0.7176999999999999,0.6961810038133485,4.526,4.392644582464059,0.47882352941176465,9.25,SD,7,0.75985,0.7727863519983987,4.141,4.101695437731196,0.5067441860465116,1.1499999999999986
CWS,3,0.75485,0.754637945866319,4.241,3.7458963491709416,0.39639423076923075,-23.799999999999997,LAA,5,0.7532,0.8250222617341924,4.9565,4.478689036285602,0.5076219512195121,-41.1
BAL,4,0.7345999999999999,0.7434884902593374,4.902,5.200199843854587,0.34828840393667093,-115.5,BOS,2,0.7853,0.7993922084048997,5.0855,4.380501926921255,0.40854700854700854,17.200000000000003
CLE,2,0.7172999999999999,0.7420295100052127,3.487,2.795656610470275,0.5355640152274093,76.9,DET,5,0.6925,0.7533329662639672,5.382999999999999,6.5089605781865965,0.4231837606837607,-149.55
TEX,4,0.6846,0.6932698982022729,5.022499999999999,4.380501926921255,0.5170110044233466,-86.44999999999999,KC,11,0.70865,0.7349310052353647,4.6225,4.597886146055858,0.43426620648259295,-88.15
TOR,3,0.7537,0.7990768088512875,4.703,4.451411787217758,0.5351365323435843,-49.95,NYY,5,0.7978,0.8297086342162128,4.2545,4.167370535920923,0.48479469854469853,105.3
HOU,9,0.7571,0.759330682941095,3.9675,3.9104464510709787,0.46453488372093027,111.85,OAK,1,0.7394000000000001,0.7528479788378034,3.8275,5.068459651236512,0.5641653584510726,87.3
SF,0,0.7445499999999999,0.8221527475685926,4.4715,5.406171415649027,0.5455687830687831,-36.95,SEA,4,0.7001,0.7247496115307813,4.887500000000001,4.380501926921255,0.4920837808807733,-68.25
PIT,3,0.6786,0.6913311370452168,4.7055,4.36023598820059,0.40194431527551727,-85.80000000000001,CHC,4,0.73035,0.7509683263030753,3.9665,3.371022312832711,0.49552093148472204,56.65
STL,1,0.71015,0.7337165030006263,3.8845,6.084140991232779,0.5310556464811783,42.3,CIN,12,0.7223499999999999,0.7511367153555287,4.0765,8.2610101010101,0.42372469635627524,-20.95
LAD,4,0.8111999999999999,0.8132840051701458,3.1695,3.0311627906976746,0.5627551020408164,178.95,COL,2,0.73865,0.7321143065745173,5.398499999999999,2.602962406015038,0.5406759867872276,-72.3
MIN,8,0.7622499999999999,0.7507483575998273,3.868,3.633655913978495,0.6125,73.10000000000001,MIL,2,0.725,0.7360234528136225,4.1674999999999995,4.774395637232929,0.6576923076923077,4.800000000000001
ATL,1,0.80775,0.8238789584354074,4.2885,1.95,0.6458976317799847,79.3,PHI,2,0.76115,0.7753470774398132,4.875,4.108042178425212,0.4758130081300813,-15.649999999999999
AZ,3,0.7176999999999999,0.7241930079664332,4.526,4.5,0.47882352941176465,9.25,SD,1,0.75985,0.8014449332353254,4.141,4.243271365866254,0.5067441860465116,1.1499999999999986
CWS,4,0.75485,0.7644497612452678,4.241,4.535595489781536,0.39639423076923075,-23.799999999999997,LAA,7,0.7532,0.8158972024170685,4.9565,4.152109060945711,0.5076219512195121,-41.1
BAL,11,0.7345999999999999,0.7454999108070892,4.902,4.380501926921255,0.34828840393667093,-115.5,BOS,3,0.7853,0.7896055398866145,5.0855,3.940360254253132,0.40854700854700854,17.200000000000003
CLE,9,0.7172999999999999,0.7331549820645104,3.487,4.116998050682262,0.5355640152274093,76.9,DET,3,0.6925,0.7283672836217824,5.382999999999999,5.63,0.4231837606837607,-149.55
TEX,7,0.6846,0.7184513047634142,5.022499999999999,5.481661761270732,0.5170110044233466,-86.44999999999999,KC,3,0.70865,0.7349310052353647,4.6225,4.06,0.43426620648259295,-88.15
TOR,3,0.7537,0.7811721448389146,4.703,4.541399935684831,0.5351365323435843,-49.95,NYY,1,0.7978,0.8166174388519262,4.2545,4.502479788694183,0.48479469854469853,105.3
HOU,9,0.7571,0.7576467641864748,3.9675,3.1010731052984575,0.46453488372093027,111.85,OAK,2,0.7394000000000001,0.7590617006227978,3.8275,3.5294560394412486,0.5641653584510726,87.3
MIL,3,0.725,0.7344917813277502,4.1674999999999995,4.145513141977345,0.6576923076923077,4.800000000000001,CHC,5,0.73035,0.7519269405933875,3.9665,5.165061178587494,0.49552093148472204,56.65
PIT,3,0.6786,0.7021382231399484,4.7055,4.94,0.40194431527551727,-85.80000000000001,CIN,5,0.7223499999999999,0.7493441559686923,4.0765,4.380501926921255,0.42372469635627524,-20.95
STL,4,0.71015,0.7308693493163478,3.8845,4.132167548500881,0.5310556464811783,42.3,MIA,1,0.6889,0.7649258829000726,4.8149999999999995,6.109999999999999,0.5095275119617225,-105.85
NYM,3,0.78185,0.7995010841720157,4.679,2.2267000681663256,0.39656713749329514,-4.349999999999999,PHI,5,0.76115,0.8043080971507139,4.875,5.028290737141181,0.4758130081300813,-15.649999999999999
SF,3,0.7445499999999999,0.7479639916793577,4.4715,5.570016115351993,0.5455687830687831,-36.95,SD,2,0.75985,0.7993376332104808,4.141,4.380501926921255,0.5067441860465116,1.1499999999999986
