last_name,first_name,mlbam_id,retrosheet_id,fangraphs_id
correa,carlos,621043,corrc001,14162
rutschman,adley,668939,rutsa001,26288
suárez,eugenio,553993,suare001,12552
bregman,alex,608324,brega001,17678
wells,austin,669224,wella002,27562
sánchez,gary,596142,sancg002,11442
morales,kendrys,434778,morak001,8610
kirk,alejandro,672386,kirka001,22581
blackmon,charlie,453568,blacc001,7859
soto,juan,665742,sotoj001,20123
duda,lucas,446263,dudal001,2502
santana,carlos,467793,santc002,2396
ruggiano,justin,448605,ruggj001,7620
contreras,willson,575929,contw001,11609
hicks,aaron,543305,hicka001,5297
marte,ketel,606466,martk001,13613
seager,corey,608369,seagc001,13624
teixeira,mark,407893,teixm001,1281
taylor,chris,621035,taylc001,13757
pérez,salvador,521692,peres002,7304
moreland,mitch,519048,morem001,3086
conforto,michael,624424,confm001,16376
zimmerman,ryan,475582,zimmr001,4220
joe,connor,656582,joe-c001,16572
zimmerman,ryan,475582,zimmr001,4220
lind,adam,452252,linda001,8027
robles,víctor,645302,roblv001,18363
hernández,teoscar,606192,hernt002,13066
casas,triston,671213,casat001,22514
cabrera,miguel,408234,cabrm001,1744
trumbo,mark,444432,trumm001,6876
raburn,ryan,430605,rabur001,2218
martinez,j. d.,502110,martj006,6184
gallo,joey,608336,gallj002,14128
schwarber,kyle,656941,schwk001,16478
davis,khris,501981,davik003,9112
bregman,alex,608324,brega001,17678
pearce,steve,456665,pears001,9957
rendon,anthony,543685,renda001,12861
arozarena,randy,668227,arozr001,19290
turner,justin,457759,turnj001,5235
travis,devon,581527,travd001,13862
machado,manny,592518,machm001,11493
votto,joey,458015,vottj001,4314
witt,bobby,677951,wittb002,25764
smoak,justin,475253,smoaj001,9054
morrison,logan,489149,morrl001,9205
braun,ryan,460075,braur002,3410
sanó,miguel,593934,sanom001,12164
mauer,joe,408045,mauej001,1857
gonzález,adrián,408236,gonza003,1908
carter,chris,474892,cartc002,9911
grisham,trent,663757,grist001,18564
bour,justin,571506,bourj002,9744
barnes,austin,605131,barna001,12158
sánchez,héctor,516949,sanch002,10289
tellez,rowdy,642133,tellr001,15679
voit,luke,572228,voitl001,14811
rodriguez,alex,121347,rodra001,1274
story,trevor,596115,stort001,12564
rizzo,anthony,519203,rizza001,3473
goldschmidt,paul,502671,goldp001,9218
santana,carlos,467793,santc002,2396
correa,carlos,621043,corrc001,14162
blackmon,charlie,453568,blacc001,7859
devers,rafael,646240,dever001,17350
haniger,mitch,571745,hanim001,14274
pederson,joc,592626,pedej001,11899
bell,josh,605137,bellj005,13145
moustakas,mike,519058,mousm001,4892
pujols,albert,405395,pujoa001,1177
choo,shin-soo,425783,choos001,3174
reynolds,bryan,668804,reynb001,19326
alonso,pete,624413,alonp001,19251
goldschmidt,paul,502671,goldp001,9218
machado,manny,592518,machm001,11493
pederson,joc,592626,pedej001,11899
grandal,yasmani,518735,grany001,11368
riley,austin,663586,rilea001,18360
holliday,matt,407812,hollm001,1873
winker,jesse,608385,winkj002,13590
pinder,chad,640461,pindc001,15191
lemahieu,dj,518934,lemad001,9874
jansen,danny,643376,jansd001,16535
profar,jurickson,595777,profj001,10815
thompson,trayce,572204,thomt002,9952
kirilloff,alex,666135,kiria001,20325
hosmer,eric,543333,hosme001,3516
knapp,andrew,595284,knapa001,14942
beltré,adrian,134181,belta001,639
garcía,avisaíl,541645,garca003,5760
cron,c. j.,543068,cronc002,12546
garcía,adolis,666969,garca005,19287
arenado,nolan,571448,arenn001,9777
riley,austin,663586,rilea001,18360
goldschmidt,paul,502671,goldp001,9218
ethier,andre,444843,ethia001,6265
ramírez,josé,608070,ramij003,13510
garcía,avisaíl,541645,garca003,5760
acuña,ronald,660670,acunr001,18401
morales,kendrys,434778,morak001,8610
seager,kyle,572122,seagk001,9785
pujols,albert,405395,pujoa001,1177
díaz,yandy,650490,diazy001,16578
bellinger,cody,641355,bellc002,15998
lowrie,jed,476704,lowrj001,4418
jiménez,eloy,650391,jimee001,17484
schwarber,kyle,656941,schwk001,16478
encarnación,edwin,429665,encae001,2151
franco,wander,677551,franw002,23667
greene,riley,682985,greer003,25976
walker,christian,572233,walkc002,13419
choi,ji man,596847,choij001,5452
contreras,willson,575929,contw001,11609
muncy,max,571970,muncm001,13301
bour,justin,571506,bourj002,9744
yastrzemski,mike,573262,yastm001,14854
castro,willi,650489,castw003,17338
walker,christian,572233,walkc002,13419
martínez,víctor,400121,martv001,393
springer,george,543807,sprig001,12856
smith,will,669257,smitw003,19197
pence,hunter,452254,pench001,8252
joyce,matt,459964,joycm001,3353
cain,lorenzo,456715,cainl001,9077
turner,trea,607208,turnt001,16252
garver,mitch,641598,garvm001,15161
cron,c. j.,543068,cronc002,12546
bichette,bo,666182,bichb001,19612
longoria,evan,446334,longe001,9368
abreu,josé,547989,abrej003,15676
schwarber,kyle,656941,schwk001,16478
jiménez,eloy,650391,jimee001,17484
ozuna,marcell,542303,ozunm001,10324
yelich,christian,592885,yelic001,11477
greene,riley,682985,greer003,25976
castro,jason,488771,castj006,8722
frazier,clint,640449,frazc001,15983
bohm,alec,664761,bohma001,21618
semien,marcus,543760,semim001,12533
rizzo,anthony,519203,rizza001,3473
pham,tommy,502054,phamt001,2967
castellanos,nick,592206,castn001,11737
tatís,fernando,665487,tatif002,19709
cruz,nelson,443558,cruzn002,2434
correa,carlos,621043,corrc001,14162
stanton,giancarlo,519317,stanm004,4949
granderson,curtis,434158,granc001,4747
bogaerts,xander,593428,bogax001,12161
jones,nolan,666134,jonen002,20529
choo,shin-soo,425783,choos001,3174
choo,shin-soo,425783,choos001,3174
alonso,yonder,475174,alony001,2530
bell,josh,605137,bellj005,13145
marte,starling,516782,marts002,9241
india,jonathan,663697,indij001,21523
lowe,brandon,664040,loweb001,18882
mancini,trey,641820,manct001,15149
blackmon,charlie,453568,blacc001,7859
mountcastle,ryan,663624,mounr001,18373
betts,mookie,605141,bettm001,13611
kepler,max,596146,keplm001,12144
hayes,ke'bryan,663647,hayek001,18577
robinson,clint,519208,robic001,6908
piscotty,stephen,572039,piscs001,13367
correa,carlos,621043,corrc001,14162
happ,ian,664023,happi001,17919
soto,geovany,434567,sotog001,3707
vogelbach,dan,596129,voged001,14130
