"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
24078,158,"MIL",2021,24078,100,0.233,0.163,0.283,0.396,0.31,0.31,0.233,1251,5362,87.8,12,2250,88.8,88.8,3001,11182,12895,0,6.26,112,154,118,149,298,321,296,"10.2","-10.2",,
23494,138,"STL",2015,23494,100,0.253,0.142,0.303,0.394,0.311,0.31,0.245,1386,5484,87.9,10.6,2125,88.8,88.24,2548,11125,12186,-0.5999999999999943,5.95,110,148,109,146,294,311,293,"38.4","-38.4",,
22385,121,"NYM",2021,22385,100,0.239,0.152,0.291,0.391,0.307,0.31,0.237,1243,5210,87.4,11.2,2226,89,89.05,2973,11120,11264,0.09999999999999432,6.32,110,152,117,147,296,321,296,"53","-53",,
23241,110,"BAL",2022,23241,100,0.236,0.154,0.284,0.39,0.305,0.31,0.238,1281,5429,88,15.2,2244,88.7,88.65,3028,11502,11736,0,6.34,110,155,116,149,300,324,293,"25.9","-25.9",,
23760,144,"ATL",2018,23760,100,0.257,0.161,0.302,0.417,0.319,0.31,0.246,1433,5582,87.7,12.4,2210,88.8,88.44,2760,11828,11929,-0.3999999999999915,5.99,110,151,111,148,297,319,295,"-23.4","23.4",,
23332,109,"AZ",2015,23332,100,0.264,0.15,0.316,0.414,0.319,0.31,0.248,1494,5649,88.3,9.9,2131,88.7,88.28,2504,10835,12347,-0.4000000000000057,6.01,110,148,108,146,297,315,294,"1.2","-1.2",,
22872,118,"KC",2022,22872,100,0.244,0.136,0.293,0.38,0.302,0.309,0.243,1327,5437,88.1,12.6,2233,88.7,88.8,2842,11317,11551,0.09999999999999432,6.3,110,154,114,148,299,325,298,"43.4","-43.4",,
23480,139,"TB",2016,23480,100,0.243,0.182,0.293,0.426,0.315,0.309,0.236,1333,5481,89,14.4,2204,88.4,87.83,3062,11182,12228,-0.6000000000000085,6.06,108,151,113,147,297,322,294,"37.7","-37.7",,
23413,115,"COL",2018,23413,100,0.256,0.179,0.304,0.435,0.325,0.309,0.241,1418,5541,88.7,10,2249,88.7,88.59,2919,11479,11930,-0.10000000000000853,6,111,150,111,148,304,327,303,"-52.2","52.2",,
23677,139,"TB",2018,23677,100,0.258,0.148,0.317,0.406,0.322,0.309,0.24,1415,5475,87.5,10.2,2226,88.3,87.65,2892,11234,12432,-0.7000000000000028,5.97,109,150,110,147,291,318,292,"10.4","-10.4",,
23246,144,"ATL",2016,23246,100,0.255,0.13,0.305,0.384,0.304,0.309,0.252,1404,5514,88.1,9.2,2203,89.2,88.55,2483,11179,11849,-0.7000000000000028,6,109,149,109,146,292,313,294,"70.6","-70.6",,
23968,109,"AZ",2018,23968,100,0.235,0.162,0.286,0.397,0.306,0.309,0.235,1283,5460,88,11.3,2250,88.7,88.13,2801,11014,12954,-0.6000000000000085,5.96,110,150,110,148,297,319,300,"35.9","-35.9",,
24342,137,"SF",2022,24342,100,0.234,0.156,0.283,0.389,0.31,0.308,0.228,1260,5392,87.6,14.8,2246,89,89.08,2907,11218,13124,0.09999999999999432,6.32,111,155,117,149,298,321,296,"-26.6","26.6",,
23147,145,"CWS",2022,23147,100,0.256,0.131,0.304,0.387,0.306,0.308,0.248,1435,5611,88.9,10.4,2258,88.6,88.64,2965,11663,11483,0,6.27,110,154,118,148,299,325,293,"6.1","-6.1",,
25523,136,"SEA",2019,25523,100,0.237,0.187,0.287,0.424,0.314,0.308,0.229,1305,5500,87.2,14.3,2266,88.5,88.01,3063,11535,13984,-0.5,5.94,110,153,116,148,291,316,294,"24.1","-24.1",,
24709,111,"BOS",2015,24709,100,0.265,0.149,0.305,0.415,0.321,0.308,0.246,1495,5640,88.4,10.5,2143,88.8,88.36,2294,11315,13298,-0.3999999999999915,6.1,110,151,113,147,284,312,294,"-57.3","57.3",,
