team,year,xwoba_diff
TEX,2018,-0.026000000000000023
KC,2021,-0.028000000000000025
TB,2017,0.0040000000000000036
CLE,2023,-0.015000000000000013
MIL,2021,0.018000000000000016
STL,2015,0.01200000000000001
NYM,2021,0.0
BAL,2022,-0.008000000000000007
ATL,2018,0.0020000000000000018
AZ,2015,-0.008000000000000007
KC,2022,-0.02400000000000002
TB,2016,-0.0020000000000000018
COL,2018,0.006000000000000005
TB,2018,0.008000000000000007
ATL,2016,-0.008000000000000007
AZ,2018,-0.006000000000000005
SF,2022,0.01200000000000001
CWS,2022,0.007000000000000006
SEA,2019,-0.026000000000000023
BOS,2015,-0.008000000000000007
MIN,2016,-0.030000000000000027
SEA,2020,-0.02100000000000002
SEA,2021,-0.01200000000000001
DET,2021,-0.026000000000000023
CHC,2015,0.019000000000000017
